date,year,quarter,country,currency,inflation_yoy,policy_rate,gdp_growth,current_account_gdp,reserves_months_imports,external_debt_gdp,remittances_gdp,imports_gdp,trade_openness,unemployment,source
2020-01-01,2020,2020Q1,Colombia,COP,0.0252663500084706,0.13,-0.0718591413760859,-0.0342772945914236,5.0,0.5819527642535199,0.0256133478402854,0.20533295408679902,0.355332954086799,0.15983,world_bank_api
2020-04-01,2020,2020Q2,Colombia,COP,0.0252663500084706,0.13,-0.0718591413760859,-0.0342772945914236,5.0,0.5819527642535199,0.0256133478402854,0.20533295408679902,0.355332954086799,0.15983,world_bank_api
2020-07-01,2020,2020Q3,Colombia,COP,0.0252663500084706,0.13,-0.0718591413760859,-0.0342772945914236,5.0,0.5819527642535199,0.0256133478402854,0.20533295408679902,0.355332954086799,0.15983,world_bank_api
2020-10-01,2020,2020Q4,Colombia,COP,0.0252663500084706,0.13,-0.0718591413760859,-0.0342772945914236,5.0,0.5819527642535199,0.0256133478402854,0.20533295408679902,0.355332954086799,0.15983,world_bank_api
2021-01-01,2021,2021Q1,Colombia,COP,0.0349505757399448,0.13,0.10801198190487799,-0.056351694946032,5.0,0.5457025307308571,0.0270254419060708,0.23862140438726398,0.388621404387264,0.13898,world_bank_api
2021-04-01,2021,2021Q2,Colombia,COP,0.0349505757399448,0.13,0.10801198190487799,-0.056351694946032,5.0,0.5457025307308571,0.0270254419060708,0.23862140438726398,0.388621404387264,0.13898,world_bank_api
2021-07-01,2021,2021Q3,Colombia,COP,0.0349505757399448,0.13,0.10801198190487799,-0.056351694946032,5.0,0.5457025307308571,0.0270254419060708,0.23862140438726398,0.388621404387264,0.13898,world_bank_api
2021-10-01,2021,2021Q4,Colombia,COP,0.0349505757399448,0.13,0.10801198190487799,-0.056351694946032,5.0,0.5457025307308571,0.0270254419060708,0.23862140438726398,0.388621404387264,0.13898,world_bank_api
2022-01-01,2022,2022Q1,Colombia,COP,0.101772313546166,0.13,0.07328277294279789,-0.0604054199360168,5.0,0.552901604295775,0.027354220776326002,0.278942871185028,0.42894287118502794,0.10541,world_bank_api
2022-04-01,2022,2022Q2,Colombia,COP,0.101772313546166,0.13,0.07328277294279789,-0.0604054199360168,5.0,0.552901604295775,0.027354220776326002,0.278942871185028,0.42894287118502794,0.10541,world_bank_api
2022-07-01,2022,2022Q3,Colombia,COP,0.101772313546166,0.13,0.07328277294279789,-0.0604054199360168,5.0,0.552901604295775,0.027354220776326002,0.278942871185028,0.42894287118502794,0.10541,world_bank_api
2022-10-01,2022,2022Q4,Colombia,COP,0.101772313546166,0.13,0.07328277294279789,-0.0604054199360168,5.0,0.552901604295775,0.027354220776326002,0.278942871185028,0.42894287118502794,0.10541,world_bank_api
2023-01-01,2023,2023Q1,Colombia,COP,0.117359044948689,0.13,0.00712380031974334,-0.022713986641114,5.0,0.549698144239845,0.027605292901736397,0.22556454086365801,0.375564540863658,0.09591,world_bank_api
2023-04-01,2023,2023Q2,Colombia,COP,0.117359044948689,0.13,0.00712380031974334,-0.022713986641114,5.0,0.549698144239845,0.027605292901736397,0.22556454086365801,0.375564540863658,0.09591,world_bank_api
2023-07-01,2023,2023Q3,Colombia,COP,0.117359044948689,0.13,0.00712380031974334,-0.022713986641114,5.0,0.549698144239845,0.027605292901736397,0.22556454086365801,0.375564540863658,0.09591,world_bank_api
2023-10-01,2023,2023Q4,Colombia,COP,0.117359044948689,0.13,0.00712380031974334,-0.022713986641114,5.0,0.549698144239845,0.027605292901736397,0.22556454086365801,0.375564540863658,0.09591,world_bank_api
2024-01-01,2024,2024Q1,Colombia,COP,0.0660908593728228,0.13,0.015983315366523,-0.0167431987455953,5.0,0.49203869984653104,0.0283493751117081,0.209261699894576,0.359261699894576,0.09619,world_bank_api
2024-04-01,2024,2024Q2,Colombia,COP,0.0660908593728228,0.13,0.015983315366523,-0.0167431987455953,5.0,0.49203869984653104,0.0283493751117081,0.209261699894576,0.359261699894576,0.09619,world_bank_api
2024-07-01,2024,2024Q3,Colombia,COP,0.0660908593728228,0.13,0.015983315366523,-0.0167431987455953,5.0,0.49203869984653104,0.0283493751117081,0.209261699894576,0.359261699894576,0.09619,world_bank_api
2024-10-01,2024,2024Q4,Colombia,COP,0.0660908593728228,0.13,0.015983315366523,-0.0167431987455953,5.0,0.49203869984653104,0.0283493751117081,0.209261699894576,0.359261699894576,0.09619,world_bank_api
2025-01-01,2025,2025Q1,Colombia,COP,,0.13,,,5.0,,,,0.55,0.08289999999999999,world_bank_api
2025-04-01,2025,2025Q2,Colombia,COP,,0.13,,,5.0,,,,0.55,0.08289999999999999,world_bank_api
2025-07-01,2025,2025Q3,Colombia,COP,,0.13,,,5.0,,,,0.55,0.08289999999999999,world_bank_api
2025-10-01,2025,2025Q4,Colombia,COP,,0.13,,,5.0,,,,0.55,0.08289999999999999,world_bank_api
2015-01-01,2015,2015Q1,Germany,EUR,0.005144261371254561,0.04,0.0166300602334775,0.0809671429040111,10.0,,0.004346678500221479,0.351711839535087,0.501711839535087,0.04612,world_bank_api
2015-04-01,2015,2015Q2,Germany,EUR,0.005144261371254561,0.04,0.0166300602334775,0.0809671429040111,10.0,,0.004346678500221479,0.351711839535087,0.501711839535087,0.04612,world_bank_api
2015-07-01,2015,2015Q3,Germany,EUR,0.005144261371254561,0.04,0.0166300602334775,0.0809671429040111,10.0,,0.004346678500221479,0.351711839535087,0.501711839535087,0.04612,world_bank_api
