FREQ,REP_CTY,MEASURE,INSTRUMENT_TYPE,DIRECTION,TERMINAL_LOC,CARD_ISS_LOC,DEV_STATE_TECH,TERMINAL_TYPE,CARD_FCT,PAYMT_SPEED,ISSUER_OR_ONUS,UNIT_MULT,UNIT_MEASURE,TITLE,TIME_FORMAT,TABLE,DECIMALS,COMMENT_TS,COLLECTION,AVAILABILITY,OLD_TABLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_PRE_BREAK,OBS_CONF,COMMENT_OBS
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2013,17.76,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2014,33.39,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2015,49.82,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2016,64.85,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2017,192.75,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2018,433.05,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2019,1531.23,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2020,10173.17,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2021,2342.78,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2022,3556.26,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2023,8702.81,A,,F,
A,ID,N,O,A,A,I,O,A,A,A,A,6,373,"Indonesia - Number of withdrawals/deposits, e-money loading/unloading transactions ",,5,3,,S,A,7,2024,5847.16,A,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2012,NaN,L,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2013,NaN,L,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2014,NaN,M,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2015,NaN,M,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2016,NaN,M,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2017,NaN,M,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2018,49.221,A,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2019,89055.982,A,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2020,81878.100,A,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2021,101806.272,A,,F,The series of quantities was rectified.
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2022,202590.698,A,,F,The series of quantities was rectified.
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2023,1028033.496,A,,F,
A,AR,V,E,A,Z,Z,A,A,A,F,A,6,ARS,"Argentina - Value of cashless payments, fast payments, other",,6,3,,S,A,,2024,2587100.133,A,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2012,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2013,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2014,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2015,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2016,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2017,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2018,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2019,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2020,NaN,L,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2021,4541515.734,A,,F,Information on the acquisition of local and foreign cards was included in POS.
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2022,8520560.492,A,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2023,23351014.627,A,,F,
A,AR,V,F,Z,I,A,P,A,A,A,A,6,ARS,"Argentina - Value of cashless payments, device-present card and e-money payments at terminals inside the country",,6,3,,S,A,,2024,46781107.287,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2012,285.227,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2013,275.964,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2014,265.050,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2015,251.398,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2016,250.851,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2017,243.944,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2018,229.355,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2019,211.706,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2020,178.584,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2021,166.108,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2022,162.552,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2023,158.649,A,,F,
A,JP,N,M,D,I,I,O,B,A,A,A,6,373,"Japan - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country at ATMs",,5,3,"Sum of available data.  Excludes cash withdrawals from ""own ATMs"" of financial institutions.",S,A,7,2024,153.836,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2012,2822.268,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2013,3149.808,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2014,3274.085,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2015,3317.569,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2016,3396.557,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2017,3316.644,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2018,3187.311,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2019,3073.223,A,,F,
A,RU,N,M,D,I,I,O,A,A,A,A,6,373,"Russia - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations inside the country ",,5,3,,S,A,,2020,2512.728,A,,F,
A,ES,N,M,Z,O,I,O,A,A,A,A,6,373,"Spain - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations outside the country ",,5,3,,S,A,,2012,NaN,L,,F,
A,ES,N,M,Z,O,I,O,A,A,A,A,6,373,"Spain - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations outside the country ",,5,3,,S,A,,2013,NaN,L,,F,
A,ES,N,M,Z,O,I,O,A,A,A,A,6,373,"Spain - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations outside the country ",,5,3,,S,A,,2014,NaN,L,,F,
A,ES,N,M,Z,O,I,O,A,A,A,A,6,373,"Spain - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations outside the country ",,5,3,,S,A,,2015,9.310,A,,F,
A,ES,N,M,Z,O,I,O,A,A,A,A,6,373,"Spain - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations outside the country ",,5,3,,S,A,,2016,10.030,A,,F,
A,ES,N,M,Z,O,I,O,A,A,A,A,6,373,"Spain - Number of withdrawals/deposits, cash withdrawals with cards issued inside the country at locations outside the country ",,5,3,,S,A,,2017,10.251,A,,F,
