ticker,split,exposure_type,oos_design,test_period,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,turnover_reduction_pct,no_change_max_dd_hedged,regime_based_max_dd_hedged,no_change_wins_cost_adj,no_change_wins_turnover,no_change_dd_not_worse
USDCOP=X,wf_17,usd_liability_exposure,walk_forward,2026-03-23..2026-05-22,8.123,7.169,0.1,1.3,92.31,-1.584,-2.237,True,True,True
USDJPY=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,4.088,3.568,3.0,12.4,75.81,-4.222,-5.914,True,True,True
USDJPY=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,4.088,3.567,3.0,12.4,75.81,-3.223,-5.965,True,True,True
USDJPY=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,6.544,6.501,3.9,11.3,65.49,-12.193,-14.263,True,True,True
USDJPY=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,6.545,6.5,3.9,11.3,65.49,-5.973,-4.803,True,True,False
USDJPY=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,6.119,5.478,1.0,4.6,78.26,-4.108,-5.493,True,True,True
USDJPY=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,6.119,5.479,1.0,4.6,78.26,-3.698,-4.114,True,True,True
USDJPY=X,wf_0,receiver_currency_exposure,walk_forward,2006-09-18..2007-09-17,5.263,5.056,0.5,3.5,85.71,-2.368,-3.03,True,True,True
USDJPY=X,wf_0,usd_liability_exposure,walk_forward,2006-09-18..2007-09-17,5.262,5.055,0.5,3.5,85.71,-3.374,-2.834,True,True,False
USDJPY=X,wf_1,receiver_currency_exposure,walk_forward,2007-09-18..2008-09-17,10.225,11.091,1.0,3.6,72.22,-5.116,-4.546,False,True,False
USDJPY=X,wf_1,usd_liability_exposure,walk_forward,2007-09-18..2008-09-17,10.223,11.094,1.0,3.6,72.22,-6.854,-6.384,False,True,False
