corridor_id,policy_name,exposure_type,total_return_proxy,unhedged_volatility,hedged_volatility,volatility_reduction,max_drawdown_unhedged,max_drawdown_hedged,hedge_turnover,total_hedge_cost,hedge_trade_cost_pct,forward_roll_cost_pct,forward_carry_cost_pct,cost_layer,average_hedge_ratio,number_of_hedge_changes,cost_adjusted_risk_reduction,regret_proxy,status,ticker,split,oos_design,test_period,test_bars,sample,warmup_start
USDPLN=X,regime_based,usd_liability_exposure,-7.213,9.002,3.217,5.785,-17.049,-7.992,4.6,1.1032,0.23,0.2311,0.6421,forward_full,0.627,35,4.682,2.619,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,no_change_in_range,usd_liability_exposure,-4.344,9.002,3.198,5.804,-17.049,-5.513,3.0,0.06,0.06,0.0,0.0,base,0.663,30,5.744,2.485,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,no_change_in_range,usd_liability_exposure,-5.308,9.002,3.198,5.805,-17.049,-6.294,3.0,1.0729,0.15,0.2443,0.6786,forward_full,0.663,30,4.732,2.495,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,volatility_triggered,usd_liability_exposure,-9.417,9.002,4.231,4.771,-17.049,-10.398,9.0,0.18,0.18,0.0,0.0,base,0.509,30,4.591,3.371,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,volatility_triggered,usd_liability_exposure,-10.3,9.002,4.231,4.772,-17.049,-11.167,9.0,1.1591,0.45,0.1877,0.5214,forward_full,0.509,30,3.612,3.38,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,half_hedged,receiver_currency_exposure,-5.37,9.257,4.629,4.629,-13.701,-7.005,0.0,0.0,0.0,0.0,0.0,base,0.5,0,4.629,3.589,ok,USDPLN=X,wf_9,walk_forward,2018-03-19..2019-03-18,261,test,2013-03-19
USDPLN=X,half_hedged,receiver_currency_exposure,-6.034,9.257,4.629,4.629,-13.701,-7.588,0.0,0.7043,0.0,0.1864,0.5179,forward_full,0.5,0,3.924,3.589,ok,USDPLN=X,wf_9,walk_forward,2018-03-19..2019-03-18,261,test,2013-03-19
USDPLN=X,mostly_hedged,receiver_currency_exposure,-2.695,9.257,2.314,6.943,-13.701,-3.541,0.0,0.0,0.0,0.0,0.0,base,0.75,0,6.943,1.794,ok,USDPLN=X,wf_9,walk_forward,2018-03-19..2019-03-18,261,test,2013-03-19
USDPLN=X,mostly_hedged,receiver_currency_exposure,-3.718,9.257,2.314,6.943,-13.701,-4.447,0.0,1.0564,0.0,0.2796,0.7768,forward_full,0.75,0,5.886,1.796,ok,USDPLN=X,wf_9,walk_forward,2018-03-19..2019-03-18,261,test,2013-03-19
USDPLN=X,regime_based,receiver_currency_exposure,-6.393,9.257,4.216,5.041,-13.701,-7.89,5.4,0.108,0.108,0.0,0.0,base,0.561,22,4.933,3.139,ok,USDPLN=X,wf_9,walk_forward,2018-03-19..2019-03-18,261,test,2013-03-19
USDPLN=X,regime_based,receiver_currency_exposure,-7.281,9.257,4.217,5.041,-13.701,-8.615,5.4,1.0606,0.27,0.2093,0.5813,forward_full,0.561,22,3.98,3.142,ok,USDPLN=X,wf_9,walk_forward,2018-03-19..2019-03-18,261,test,2013-03-19
USDPLN=X,no_change_in_range,receiver_currency_exposure,-3.744,9.257,3.31,5.947,-13.701,-4.748,0.4,0.008,0.008,0.0,0.0,base,0.664,4,5.939,2.477,ok,USDPLN=X,wf_9,walk_forward,2018-03-19..2019-03-18,261,test,2013-03-19
