ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,no_change_wins_cost_adj,turnover_reduction_pct,no_change_wins_turnover
USDMXN=X,wf_10,receiver_currency_exposure,walk_forward,2016-09-14..2017-09-13,forward_full,6.623,6.464,0.7,3.1,True,77.42,True
USDMXN=X,wf_10,usd_liability_exposure,walk_forward,2016-09-14..2017-09-13,base,9.409,9.067,0.7,3.1,True,77.42,True
USDMXN=X,wf_10,usd_liability_exposure,walk_forward,2016-09-14..2017-09-13,forward_full,6.615,6.466,0.7,3.1,True,77.42,True
USDMXN=X,wf_11,us_entity_long_mxn,walk_forward,2017-09-14..2018-09-13,base,7.312,7.427,0.8,3.8,False,78.95,True
USDMXN=X,wf_11,us_entity_long_mxn,walk_forward,2017-09-14..2018-09-13,forward_full,4.621,4.705,0.8,3.8,False,78.95,True
USDMXN=X,wf_11,receiver_currency_exposure,walk_forward,2017-09-14..2018-09-13,base,7.312,7.427,0.8,3.8,False,78.95,True
USDMXN=X,wf_11,receiver_currency_exposure,walk_forward,2017-09-14..2018-09-13,forward_full,4.621,4.705,0.8,3.8,False,78.95,True
USDMXN=X,wf_11,usd_liability_exposure,walk_forward,2017-09-14..2018-09-13,base,7.313,7.428,0.8,3.8,False,78.95,True
USDMXN=X,wf_11,usd_liability_exposure,walk_forward,2017-09-14..2018-09-13,forward_full,4.623,4.7,0.8,3.8,False,78.95,True
USDMXN=X,wf_12,us_entity_long_mxn,walk_forward,2018-09-14..2019-09-13,base,6.77,5.115,0.6,5.2,True,88.46,True
USDMXN=X,wf_12,us_entity_long_mxn,walk_forward,2018-09-14..2019-09-13,forward_full,4.007,2.707,0.6,5.2,True,88.46,True
USDMXN=X,wf_12,receiver_currency_exposure,walk_forward,2018-09-14..2019-09-13,base,6.77,5.115,0.6,5.2,True,88.46,True
USDMXN=X,wf_12,receiver_currency_exposure,walk_forward,2018-09-14..2019-09-13,forward_full,4.007,2.707,0.6,5.2,True,88.46,True
USDMXN=X,wf_12,usd_liability_exposure,walk_forward,2018-09-14..2019-09-13,base,6.771,5.119,0.6,5.2,True,88.46,True
USDMXN=X,wf_12,usd_liability_exposure,walk_forward,2018-09-14..2019-09-13,forward_full,4.01,2.72,0.6,5.2,True,88.46,True
USDMXN=X,wf_13,us_entity_long_mxn,walk_forward,2019-09-14..2020-09-13,base,11.319,12.621,0.4,3.4,False,88.24,True
USDMXN=X,wf_13,us_entity_long_mxn,walk_forward,2019-09-14..2020-09-13,forward_full,8.64,9.998,0.4,3.4,False,88.24,True
USDMXN=X,wf_13,receiver_currency_exposure,walk_forward,2019-09-14..2020-09-13,base,11.319,12.621,0.4,3.4,False,88.24,True
USDMXN=X,wf_13,receiver_currency_exposure,walk_forward,2019-09-14..2020-09-13,forward_full,8.64,9.998,0.4,3.4,False,88.24,True
USDMXN=X,wf_13,usd_liability_exposure,walk_forward,2019-09-14..2020-09-13,base,11.319,12.619,0.4,3.4,False,88.24,True
USDMXN=X,wf_13,usd_liability_exposure,walk_forward,2019-09-14..2020-09-13,forward_full,8.64,10.003,0.4,3.4,False,88.24,True
USDMXN=X,wf_14,us_entity_long_mxn,walk_forward,2020-09-14..2021-09-13,base,7.524,6.415,0.8,4.1,True,80.49,True
USDMXN=X,wf_14,us_entity_long_mxn,walk_forward,2020-09-14..2021-09-13,forward_full,4.737,4.025,0.8,4.1,True,80.49,True
USDMXN=X,wf_14,receiver_currency_exposure,walk_forward,2020-09-14..2021-09-13,base,7.524,6.415,0.8,4.1,True,80.49,True
USDMXN=X,wf_14,receiver_currency_exposure,walk_forward,2020-09-14..2021-09-13,forward_full,4.737,4.025,0.8,4.1,True,80.49,True
USDMXN=X,wf_14,usd_liability_exposure,walk_forward,2020-09-14..2021-09-13,base,7.526,6.41,0.8,4.1,True,80.49,True
USDMXN=X,wf_14,usd_liability_exposure,walk_forward,2020-09-14..2021-09-13,forward_full,4.743,4.014,0.8,4.1,True,80.49,True
USDMXN=X,wf_15,us_entity_long_mxn,walk_forward,2021-09-14..2022-09-13,base,6.616,6.593,2.0,6.5,True,69.23,True
