ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj,half_cost_adj,no_change_turnover,half_turnover,no_change_wins_cost_adj,turnover_reduction_pct,static_benchmark,mostly_cost_adj,mostly_turnover
USDBRL=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-8.897,-6.283,4.1,0.0,False,,half_hedged,,
USDBRL=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,base,8.183,6.395,1.6,0.0,True,,half_hedged,,
USDBRL=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,-0.17,0.184,1.6,0.0,False,,half_hedged,,
USDBRL=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,base,8.184,6.395,1.6,0.0,True,,half_hedged,,
USDBRL=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,forward_full,-0.163,0.184,1.6,0.0,False,,half_hedged,,
USDBRL=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,base,13.817,10.173,0.7,0.0,True,,half_hedged,,
USDBRL=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,forward_full,7.686,5.726,0.7,0.0,True,,half_hedged,,
USDBRL=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,base,13.819,10.173,0.7,0.0,True,,half_hedged,,
USDBRL=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,forward_full,7.693,5.726,0.7,0.0,True,,half_hedged,,
USDBRL=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,base,15.222,12.337,0.6,0.0,True,,half_hedged,,
USDBRL=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,forward_full,9.354,7.821,0.6,0.0,True,,half_hedged,,
USDBRL=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,base,15.222,12.337,0.6,0.0,True,,half_hedged,,
